0,Australia,"Woomera Test Range, SA",30°57′31″S 136°30′13″E﻿ / ﻿30.95875°S 136.50366°E,1950s–,,28 000 kg,Orbital,"Australian government research facility. Missile testing, 2 satellite launches.",-30.95875,136.50366
1,Australia,"Carnarvon, WA",24°29′08″S 113°24′31″E﻿ / ﻿24.48564°S 113.40866°E,1964–1965,12,,120 km,,-24.48564,113.40866
2,Australia,"Lancelin, WA",30°58′59″S 115°19′04″E﻿ / ﻿30.98309°S 115.31774°E,1974–1974,2,,,During a total solar eclipse,-30.98309,115.31774
3,Australia,"Koonibba Test Range, SA",31°53′08″S 133°26′55″E﻿ / ﻿31.885558°S 133.448686°E,2019–,2,,85 km,Used by Southern Launch for suborbital launch tests,-31.885558,133.448686
4,Australia,"Whalers Way Orbital Launch Complex, SA",34°56′02″S 135°39′08″E﻿ / ﻿34.934°S 135.6523°E,2020–,,,,Used by Southern Launch for orbital polar launches,-34.934,135.6523
5,Australia,"Arnhem Space Centre, NT",12°22′41″S 136°49′17″E﻿ / ﻿12.378021°S 136.821402°E,2021–,2,,327 km,First NASA launches outside USA. Australia's first commercial launches,-12.378021,136.821402
6,Marshall Islands,"Reagan Test Site, Omelek Island, Kwajalein Atoll",9°02′53″N 167°44′35″E﻿ / ﻿9.048167°N 167.743083°E,1950s–,,39 000 kg,Orbital,US-controlled ICBM base converted for satellites. SpaceX Falcon 1. Close to the equator.,9.048167,167.743083
7,New Zealand,Birdling's Flat,43°49′01″S 172°40′59″E﻿ / ﻿43.81700°S 172.68300°E,1980s–,10<,,,"Used for sounding rockets. Formerly proposed launch site for Rocket Lab, never developed.",-43.817,172.683
8,New Zealand,Great Mercury Island,36°21′18″S 175°27′36″E﻿ / ﻿36.35511°S 175.46006°E,2009,1,60 kg,120 km,Used for the first launch by Rocket Lab of their Atea 1 suborbital rocket.,-36.35511,175.46006
9,New Zealand,Mahia Peninsula,39°15′38″S 177°51′52″E﻿ / ﻿39.26044°S 177.86431°E,2017–,26,10 500 kg,Lunar,Launch site built and operated by Rocket Lab. First commercial spaceport in the southern hemisphere.,-39.26044,177.86431
0,,Ocean Odyssey complex,Mobile,1999–,30,462 000 kg,Orbital,"Mobile satellite launch platform operated by Sea Launch. Uses a converted oil platform that plies between Long Beach, California, where a Zenit-3SL rocket is collected, and the equator, where the rocket is launched.",,
1,Russia,Russian Delta class submarines,Mobile,1998–,2,30 000 kg,Orbital,Launch of uncrewed satellites into Earth orbit via converted SLBM missile Shtil from the Barents Sea.,,
2,Denmark,MLP Sputnik,55°02′57″N 15°36′11″E﻿ / ﻿55.04917°N 15.60306°E,2010–,4,1 630 kg,8.2 km,Mobile satellite launch platform operated by Copenhagen Suborbitals.,55.04917,15.60306
0,French Algeria,"Centre interarmées d'essais d'engins spéciaux (CIEES), Hammaguir",".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°05′58″N 2°50′09″W﻿ / ﻿31.09951°N 2.83581°W",1947–1967,230,18 000 kg,Orbital,Operated by France.[1],31.09951,-2.83581
1,Algeria,Reggane,26°43′08″N 0°16′37″E﻿ / ﻿26.71895°N 0.27691°E,1961–1965,10,,,,26.71895,0.27691
2,Zaire,"Shaba North, Kapani Tonneo OTRAG Launch Center",7°55′33″S 28°31′40″E﻿ / ﻿7.92587°S 28.52766°E,1975–1979,3,,<50 km,German OTRAG rockets.[2],-7.92587,28.52766
3,Egypt,Jabal Hamzah ballistic missile test and launch facility,30°07′32.7″N 30°36′18.5″E﻿ / ﻿30.125750°N 30.605139°E,1962–1973,6,,,Testing SRBMs Al Zafir and Al Kahir[3][4],30.12575,30.605139
4,Kenya,"Broglio Space Centre (San Marco), Malindi",2°56′27″S 40°12′48″E﻿ / ﻿2.94080°S 40.21340°E,1964–1988,27,20 000 kg,Orbital,"Scout rockets, operated by ASI and Sapienza University of Rome, Italy.[5]",-2.9408,40.2134
5,Libya,"Sabha, Tawiwa OTRAG Launch Center",26°59′38″N 14°27′51″E﻿ / ﻿26.99392°N 14.46425°E,1981–1987,2,,50 km,German OTRAG rockets after site in Zaire closed.[6],26.99392,14.46425
6,Mauritania,Nouadhibou,20°55′43″N 17°01′54″W﻿ / ﻿20.92856°N 17.03153°W,1973–1973,1,,,During a solar eclipse,20.92856,-17.03153
7,South Africa,Overberg South African Test Centre,34°36′10″S 20°18′09″E﻿ / ﻿34.60265°S 20.30248°E,"1986–1993, 2000s–",,,,Launched test mission rockets only.[7],-34.60265,20.30248
0,China,"Base 603, Shijiedu, Guangde",30°56′15″N 119°12′21″E﻿ / ﻿30.93743°N 119.20575°E,1960–1966,,1 000 kg,<60 km,,30.93743,119.20575
1,China,Jiuquan Satellite Launch Center,40°57′38″N 100°17′54″E﻿ / ﻿40.96056°N 100.29833°E,1970–,,464 000 kg,Orbital,Human spaceflight[8],40.96056,100.29833
2,China,Taiyuan Satellite Launch Center,38°50′56.71″N 111°36′30.59″E﻿ / ﻿38.8490861°N 111.6084972°E,1980–,,249 000 kg,Orbital,Polar satellites[9],38.8490861,111.6084972
3,China,Xichang Satellite Launch Center,28°14′47″N 102°01′41″E﻿ / ﻿28.24646°N 102.02814°E,1984–,,459 000 kg,Lunar,"Geo-synchronous satellites, lunar probes.[10][11]",28.24646,102.02814
4,China,Wenchang Satellite Launch Center,19°36′52.17″N 110°57′4.08″E﻿ / ﻿19.6144917°N 110.9511333°E,2016–,,879 000 kg,Interplanetary,New site on Hainan Island with pads for Long March 5 and Long March 7 rockets,19.6144917,110.9511333
5,China,Jingyu,42°00′N 126°30′E﻿ / ﻿42.0°N 126.5°E,,,,,,42,126.5
6,India,"Vikram Sarabhai Space Centre, Thiruvananthapuram (Thumba), Kerala",8°31′53″N 76°52′08″E﻿ / ﻿8.5314°N 76.8690°E,1962–,,,,[12],8.5314,76.869
7,India,"Satish Dhawan Space Centre (Sriharikota), Andhra Pradesh",13°44′15″N 80°14′06″E﻿ / ﻿13.73740°N 80.23510°E,1971–,,690 000 kg,Interplanetary,Satellites and lunar probes;[13],13.7374,80.2351
8,India,"Dr.Abdul Kalam Island, Bhadrak, Odisha",20°45′29″N 87°05′08″E﻿ / ﻿20.75804°N 87.085533°E,,,,,Military testing facility[14][circular reference],20.75804,87.085533
9,Indonesia,"LAPAN Rocket Launcher Station, Pameungpeuk, Garut",7°38′48″S 107°41′20″E﻿ / ﻿7.646643°S 107.689018°E,1965–,,765 kg,100 km,,-7.646643,107.689018
