,Country,Location,Coordinates,Operational date,Heaviest rocket launched,Highest achieved altitude,Notes
0,China,"Base 603, Shijiedu, Guangde",30°56′15″N 119°12′21″E﻿ / ﻿30.93743°N 119.20575°E,1960–1966,1 000 kg,<60 km,
1,China,Jiuquan Satellite Launch Center,40°57′38″N 100°17′54″E﻿ / ﻿40.96056°N 100.29833°E,1970–,464 000 kg,Orbital,Human spaceflight[8]
2,China,Taiyuan Satellite Launch Center,38°50′56.71″N 111°36′30.59″E﻿ / ﻿38.8490861°N 111.6084972°E,1980–,249 000 kg,Orbital,Polar satellites[9]
3,China,Xichang Satellite Launch Center,28°14′47″N 102°01′41″E﻿ / ﻿28.24646°N 102.02814°E,1984–,459 000 kg,Lunar,"Geo-synchronous satellites, lunar probes.[10][11]"
4,China,Wenchang Satellite Launch Center,19°36′52.17″N 110°57′4.08″E﻿ / ﻿19.6144917°N 110.9511333°E,2016–,879 000 kg,Interplanetary,New site on Hainan Island with pads for Long March 5 and Long March 7 rockets
5,China,Jingyu,42°00′N 126°30′E﻿ / ﻿42.0°N 126.5°E,,,,
6,India,"Vikram Sarabhai Space Centre, Thiruvananthapuram (Thumba), Kerala",8°31′53″N 76°52′08″E﻿ / ﻿8.5314°N 76.8690°E,1962–,,,[12]
7,India,"Satish Dhawan Space Centre (Sriharikota), Andhra Pradesh",13°44′15″N 80°14′06″E﻿ / ﻿13.73740°N 80.23510°E,1971–,690 000 kg,Interplanetary,Satellites and lunar probes;[13]
8,India,"Dr.Abdul Kalam Island, Bhadrak, Odisha",20°45′29″N 87°05′08″E﻿ / ﻿20.75804°N 87.085533°E,,,,Military testing facility[14][circular reference]
9,Indonesia,"LAPAN Rocket Launcher Station, Pameungpeuk, Garut",7°38′48″S 107°41′20″E﻿ / ﻿7.646643°S 107.689018°E,1965–,765 kg,100 km,
10,Iran,Qom Space Center,34°39′00″N 50°54′00″E﻿ / ﻿34.65000°N 50.90000°E,1991,,,Military testing[15]
11,Iran,Emamshahr Space Center,36°25′12″N 55°01′12″E﻿ / ﻿36.42000°N 55.02000°E,1998,,,Military testing and sounding rockets for ISA[16]
12,Iran,Semnan spaceport,35°14′05″N 53°55′15″E﻿ / ﻿35.234631°N 53.920941°E,2009–,,Orbital,
13,Iraq,Al-Anbar Test Center,32°46′56″N 44°17′59″E﻿ / ﻿32.78220°N 44.29962°E,1989,,,Out of function[17]
14,Israel,Palmachim Air Force Base,31°53′05″N 34°40′49″E﻿ / ﻿31.88484°N 34.68020°E,1987–,70 000 kg,Orbital,[18]
15,Japan,Akita Rocket Range,39°34′17″N 140°03′28″E﻿ / ﻿39.57148°N 140.05785°E,1956–1990,,343 km,
16,Japan,Uchinoura Space Center,31°15′07″N 131°04′45″E﻿ / ﻿31.25186°N 131.07914°E,1962–,139 000 kg,Interplanetary,[19]
17,Japan,"Taiki Aerospace Research Field, Hokkaido",42°18′00″N 143°15′46″E﻿ / ﻿42.3000°N 143.2629°E,2010–,1000 kg,115 km,Suborbital and future orbital launch site for Interstellar Technologies
18,Japan,"Tanegashima Space Center, Tanegashima Island",30°23′27″N 130°58′05″E﻿ / ﻿30.39096°N 130.96813°E,1967–,445 000 kg,Interplanetary,[20]
19,Japan,Ryori[21],39°01′48″N 141°49′48″E﻿ / ﻿39.03000°N 141.83000°E,1970–2001,,,Sounding rocket launch site for the Japan Meteorological Agency
20,Japan,Niijima [ja],34°20′16″N 139°15′57″E﻿ / ﻿34.33766°N 139.26575°E,1963–1965,,,Eighteen launches of small rockets[22][23]
21,Japan,Obachi[citation needed],40°42′12″N 141°22′10″E﻿ / ﻿40.70342°N 141.36938°E,,,,
22,Soviet Union/ Kazakhstan (Operated by Russia),"Baikonur Cosmodrome, Tyuratam",45°57′19″N 63°21′01″E﻿ / ﻿45.95515°N 63.35028°E,1955–,2 400 000 kg,Interplanetary,"First satellite, first human in space. Operated by Russia.[24]"
23,Soviet Union/ Kazakhstan (Partly operated by Russia),Sary Shagan[citation needed],46°22′48″N 72°52′12″E﻿ / ﻿46.38000°N 72.87000°E,1958–,,,Military testing ground for anti-missile weapons. Part of the testing ground is rented by Russian Ministry of Defense.
24,North Korea,Tonghae Satellite Launching Ground,40°51′21″N 129°39′57″E﻿ / ﻿40.85572°N 129.66587°E,1998–,,,Military rockets; satellite launch[25]
25,North Korea,Sohae Satellite Launching Station,39°39′36″N 124°42′18″E﻿ / ﻿39.660°N 124.705°E,2012–,,,Military rockets; satellite launch[26]
26,South Korea,Anhueng,36°42′08″N 126°28′18″E﻿ / ﻿36.70211°N 126.47158°E,1993–,,,
27,South Korea,"Naro Space Center, Gohueng",34°25′33″N 127°31′41″E﻿ / ﻿34.42585°N 127.52793°E,2008–,200 000 kg,Orbital,Attempted satellite launches[27]
28,Maldives,Gan Island,0°41′36″S 73°09′24″E﻿ / ﻿0.69328°S 73.15672°E,,,,Several rockets of the Kookaburra type were launched from a pad at 0°41' S and 73°9' E[28]
29,Pakistan,"Sonmiani Satellite Launch Center, Las Bela, Balochistan",25°11′33″N 66°44′56″E﻿ / ﻿25.19242°N 66.74881°E,1960s–[29],,,Sounding rockets & missile testing for SUPARCO[30]
30,Pakistan,"Tilla Satellite Launch Center, Jhelum District, Punjab",33°23′46″N 73°17′46″E﻿ / ﻿33.39610°N 73.29608°E,1980s–[31],,,Sounding rockets & missile testing for SUPARCO[32]
31,Soviet Union,Kheysa,80°27′00″N 58°03′00″E﻿ / ﻿80.45000°N 58.05000°E,1956–2008,,,Arctic sounding rocket launch site
32,Soviet Union/ Russia,"Svobodny Cosmodrome, Amur Oblast",51°50′04″N 128°16′33″E﻿ / ﻿51.83441°N 128.27570°E,1957–2007,47 000 kg,Orbital,ICBM base converted for satellites[33]
33,Soviet Union,Sovetskaya Gavan,48°58′12″N 140°18′00″E﻿ / ﻿48.97000°N 140.30000°E,1963–1964,,402 km,
34,Soviet Union/ Russia,Okhotsk[citation needed],59°22′N 143°15′E﻿ / ﻿59.367°N 143.250°E,1981–2005,,1000 km,
35,Russia,"Yasny Cosmodrome (formerly Dombarovsky), Orenburg Oblast",51°12′25″N 59°51′00″E﻿ / ﻿51.20706°N 59.85003°E,2006–,211 000 kg,Orbital,ICBM base converted for satellites[34]
36,Russia,"Vostochny Cosmodrome, Amur Oblast[35]",51°52′59″N 128°19′59″E﻿ / ﻿51.883°N 128.333°E,2016–[36],,,Facility on Russian territory to supplement Baikonur Cosmodrome in Kazakhstan
37,Taiwan,"Gangzi Station, Haiqian, Pingtung County",22°06′N 120°54′E﻿ / ﻿22.10°N 120.90°E,1988–,10 000 kg,300 km,Science and technology development
38,Taiwan,"Nantian Launch Facility, Taitung County","22°15′44″N 120°53′25″E﻿ / ﻿22.26212°N 120.89037°E,",2016–,,,Used by TiSPACE for testing and launching
